_type,_id,_revision,_page.next,kodas,vietovardis_pilnas_nekirciuotas,vietovardis,linksniai,vietovardzio_rusis,vietovardis_vertimas,kirciuote,adm_teritorinis_priklausymas,statusas,kitas_statusas,kiti_variantai,papildoma_informacija,susije_vietovardziai
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,a3f52d76-b229-4b13-9416-9f1340888f73,9e01348f-4365-4d6e-9627-bc2f6e961795,,1000010,Fabijoniškės,Fabijõniškės,,miesto dalis,,1,"Vilniaus miestas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,b18944a8-a169-4218-b54c-9d4ac7d332b9,8cfb67f5-3d19-46e2-b657-a2837f9c3e8a,,1000020,Ferma,Férma,,miestelis,,1,"Panevėžio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,48e988c8-f3fe-4dc3-a238-d37525026e3a,f0c375a7-99be-43af-b0e2-7a11655fdaa6,,1000030,Fermos,Férmos,,kaimas,,1,"Jurbarko rajonas, Tauragėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,4f7868e8-2e6a-40c4-975a-b3eea2a27d98,3b93f310-d08d-4569-bbf3-10f45a47a55a,,1000040,Fliorencija,Flioreñcija,,kaimas,,1,"Raseinių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,4d82ff3f-3539-486f-b736-ecdb39f93b6d,2ecbe79e-1b6a-4f6b-8fc3-bccdc35e0e5c,,1000050,Fontanka,Fontánka,,kaimas,,1,"Kaliningrado sritis, Slavsko rajonas, Rusija",oficialusis,neoficialusis - Petrikai̇̃,,buvusi Labguvos apskritis,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,2c5c67fa-60d6-4e9c-9fef-5a7b83d9f85f,fb9adff9-9f7c-47b3-a2f5-48493263b7dd,,1000060,Franciškis,Franci̇̀škis,"Franci̇̀škio, Franci̇̀škiui, į Franci̇̀škį, ties Franciškiù, Franci̇̀škyje",kaimas,,2,"Biržų rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,174004ec-d39f-4fe2-9011-9739e24b477a,1a4cf0c0-ec44-4d15-b15a-11d53f0755ab,,1000070,Frankpolis,Fránkpolis,,kaimas,,1,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,1a7d69df-3735-4075-83e5-5f13de54825f,7f78738c-fd15-4925-8aa5-5dd3dcb5a81a,,1000080,Freda,Fredà,"Frèdos, Frèdai, į Frèdą, ties Fredà, Frèdoje",miesto dalis,,2,"Kauno miestas, Kaunoapskritis, Lietuva",šalutinis,,Aukštóji Fredà - pagrindinis,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,d6fa0e36-daca-4dad-ab3a-602a25ea4438,590e125a-5646-49dc-b6ae-5a1a40966838,,1000090,Furmanovka,Furmãnovka,,kaimas,,1,"Kaliningrado sritis, Nesterovo rajonas, Rusija",oficialusis,neoficialusis - Senóji Katniavà,,buvusi Stalupėnų apskritis,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,5265d267-52d4-49d1-ada1-167de7c824b8,cb6f5b2c-e66d-4957-8667-4ad5b3b5bfee,,100010,Abarauskai,Abarauskai̇̃,"Abarauskų̃, Abarauskáms, į Abarauskùs, ties Abarauskai̇̃s, Abarauskuosè",kaimas,,4,"Lazdijų rajonas, Alytausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,1899c9ef-5c9f-49ac-aa9f-2e4ecf592239,a7bb0ab7-4dc6-43be-8672-e508bb1cd412,,1000100,Furmanovas,Furmãnovas,,kaimas,,1,"Kaliningrado sritis, Gusevo rajonas, Rusija",oficialusis,neoficialusis - Stanáičiai,,buvusi Gumbinės apskritis,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,3fb56d72-c557-4fd2-8839-eba7bbdeb8c1,e75548bc-f6ee-4819-bc58-a0267ed20171,,100020,Abejučių piliakalnis,Abejùčių pi̇̀liakalnis,,piliakalnis,,,"Švenčionių rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,10220ca1-188c-4ad5-b94f-90cf5c059673,d591125f-e3ff-41bb-ab6e-4bd901d9327a,,100030,Abejučių pilkapynas,Abejùčių pilkapýnas,,pilkapynas,,,"Švenčionių rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,ff425720-14a5-4fe4-b04f-e47697fd6540,7a007870-a6b2-4d27-9e6d-460a194f8c59,,100040,Abezė,Abèzė,"Abèzės, Abèzei, į Abèzę, ties Abezè, Abèzėje",miestas,,2,"Komija, Rusija",vienintelis,,,Lietuvos gyventojų 1941–1952 m. tremties vieta,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,098ed29b-d017-46e4-8093-0b1893acb306,89657059-52e0-4137-8fef-a124bcab4230,,100050,Abisavas,Abi̇̀savas,,ežeras,,1,"Zarasų rajonas, Utenosapskritis, Lietuva",neapibrėžtas,,,dabar Antãlieptės mãrios,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,c1b885cf-12fc-4429-93cb-84f1746cc635,d0575ca2-a792-4cd5-a179-62ca9e5ecc1f,,100060,Ablinga,Ablingà,"Ablingõs, Ãblingai, į Ãblingą, ties Ãblinga, Ablingojè",kaimas,,(3b),"Klaipėdos rajonas, Klaipėdosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,45b50ea7-3e36-46cb-b586-e207565d9f43,1741deae-70b3-468e-b84d-a2129ca9b904,,100070,Abramovas,Abrãmovas,,kaimas,,1,"Kaliningrado sritis, Krasnoznamensko rajonas, Rusija",oficialusis,neoficialusis - Ži̇̀rnupiai,,buvusi Pilkalnio apskritis,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,d3d7c9d0-8254-40c4-b282-fe894d11526c,def8be51-b9e9-4616-9ab7-ad565112d58b,,100080,Abromiškės,Abrõmiškės,,kaimas,,1,"Elektrėnų savivaldybės teritorija, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,01cb860c-0d3a-4fca-9232-682cfaf433bc,5c7b9dd7-e3db-4755-b65e-8054e1b65436,,100090,Acintas,Aci̇̀ntas,,ežeras,,1,"Švenčionių rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,11409bb3-bb2e-4a23-b08d-e6350c9a45c4,635248f5-b7cb-4b87-a4b1-635a6b5d5040,,100100,Acokavai,Acókavai,,kaimas,,1,"Radviliškio rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,ca9998ae-7a33-468e-bff9-8d5282403012,88085959-0761-4e1f-ab0b-2dacd9f0466f,,100110,Ačinskas,Ãčinskas,,miestas,,1,"Krasnojarsko kraštas, Rusija",vienintelis,,,Lietuvos gyventojų 1941–1952 m. tremties vieta Sibire,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,929be8c1-af02-43ad-9e9c-650cc775dffa,cb58eeda-350a-4e7e-8771-c33ff868f6c9,,100120,Adakavas,Adakãvas,"Adakãvo, Adakãvui, į Adakãvą, ties Adakavù, Adakavè",kaimas,,2,"Tauragės rajonas, Tauragėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,0301040f-a2b0-4126-bd01-9e8c7838cb9b,b7852dcb-8ff7-4b54-a5f8-a8aef011e9bc,,100130,Adamarina,Adamarinà,"Adamari̇̀nos, Adamari̇̀nai, į Adamari̇̀ną, ties Adamarinà, Adamari̇̀noje",kaimas,,2,"Vilkaviškio rajonas, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,40b2044a-f849-40ed-af6f-67f3db4f93ee,a4a3c136-3ca2-4051-ade6-02e5fdf45549,,100140,Adamonys,Adamónys,"Adamonių̃, Adamoni̇́ms, į Adamónis, ties Adamonimi̇̀s, Adamonysè",kaimas,,3,"Alytaus rajonas, Alytausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,703bc211-689b-453f-80bc-0e5be5924cfc,0e6efc9a-1783-4ff7-977e-6573a85c045f,,100150,Adolinavos pelkė (durpynas),Adolinãvos pélkė (durpýnas),,pelkė,,,"Kupiškio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,cc8b2922-93d8-4344-b8a6-02c2fde792a6,5e619e2f-cbea-45a8-806c-589556392e28,,100160,Adomaičiai,Adomáičiai,,kaimas,,1,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,9b5babd4-5cdb-4410-abd1-61dbaae5e9df,9eab076a-d2d7-4467-95e7-af85f33bb39f,,100170,Adomaičių miškas,Adomáičių mi̇̀škas,,miškas,,,"Vilniaus rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,3821f977-776f-4e59-881a-020e88b84fb5,4080c081-0f6e-455e-b501-b91e75cab1e5,,100180,Adomava,Adomavà,"Adomãvos, Adomãvai, į Adomãvą, ties Adomavà, Adomãvoje",kaimas,,2,"Panevėžio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,6f943b08-1a63-4990-b015-84b18f564756,848d010a-3513-49aa-8dcc-6e9e4609e4ed,,100190,Adomėliai,Adomė̃liai,"Adomė̃lių, Adomė̃liams, į Adomėliùs, ties Adomė̃liais, Adomė̃liuose",kaimas,,2,"Kaišiadorių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,391afc4c-e1b3-4e71-a0b3-dad82e4dd5d5,d61f800b-0883-47c8-a6fb-fdcbdd209a79,,100200,Adomėniškė,Adomė́niškė,,kaimas,baltarusiškai Adymeniški,1,"Vitebsko sritis, Breslaujos rajonas, Baltarusija",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,8b495060-480b-4619-99a6-813fb33ec727,3d1ca7aa-c6e3-45df-8249-eb67ceab818f,,100210,Adomynė,Adomỹnė,"Adomỹnės, Adomỹnei, į Adomỹnę, ties Adomynè, Adomỹnėje",kaimas,,2,"Kupiškio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,887f2618-04f8-49c6-aceb-1e9b632c1c35,6b86e7be-72ec-4ca9-bf5e-7424076ab336,,100220,Adomiškiai,Adõmiškiai,,kaimas,,1,"Pagėgių savivaldybės teritorija, Tauragėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,eed09ed5-d741-42a7-90db-62f0f3d31ca2,c0315fe6-19a9-4259-93a2-51718aa39041,,100230,Adomiškiai,Adõmiškiai,,kaimas,,1,"Šakių rajonas, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,f90dcde3-f143-4466-a18d-0cde76bee20c,37cfe38a-d5c6-4132-b450-5f1cad62606a,,100240,Adomiškių miškas,Adõmiškių mi̇̀škas,,miškas,,,"Akmenės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,4a31c6b0-a8b6-424d-aafc-f5095fe928a9,dc6249b7-0a3b-46be-be32-51383e6d17ea,,100250,Adomiškių miškas,Adõmiškių mi̇̀škas,,miškas,,,"Kauno rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,ec593dd2-1505-4c70-8d3b-1492e370f3f0,8fd87103-37bf-4e8a-b7b4-dfc79eee7c71,,100260,Adošiškė,Adõšiškė,,kaimas,,1,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,7b35d1c4-9e4e-42b6-94f2-00a3442d737f,562655bb-4002-431b-a79c-7a2894740edd,,100270,Adutiškio giria,Adùtiškio girià,,miškas,,,"Ignalinos rajonas, Utenosapskritis, Lietuva; Švenčionių rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,8c5a4242-60eb-4730-9abb-7efc3e7f9691,9b47a2bf-767d-420e-98f1-c4172f3f3ef4,,100280,Adutiškio pelkė (durpynas),Adùtiškio pélkė (durpýnas),,pelkė,,,"Švenčionių rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,b3d35e2f-3831-4895-8994-4746f7bd4268,09e07526-240e-49fe-bdc7-f50d67a96653,,100290,Adutiškis,Adùtiškis,,miestelis,,1,"Švenčionių rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,0e23ef62-e355-4b37-8e49-e941d453040c,ee80ba76-6a5c-443b-9811-6ee33f1e2c28,,100300,Advernai,Advernai̇̃,"Advernų̃, Advernáms, į Ãdvernus, ties Advernai̇̃s, Advernuosè",kaimas,,(3b),"Šakių rajonas, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,18f33aa0-51fd-45f5-9471-678d080fd38d,29fad915-b4c3-439d-83af-27f1e87e2049,,100310,Agailės,Agai̇̃lės,"Agai̇̃lių, Agai̇̃lėms,  į Agailès, ties Agai̇̃lėmis, Agai̇̃lėse",kaimas,,2,"Šiaulių rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,5188ccff-58f7-474d-8f93-e215e8ba2423,1f485a41-b5ee-45f9-ad2c-a734d5077197,,100320,Agailių miškas,Agai̇̃lių mi̇̀škas,,miškas,,,"Šiaulių rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,a5dc9c71-4135-4275-a405-26570b51ec42,a8aeb1a7-9679-4a75-a8fe-b1ab4ee15192,,100330,Agariniai,Agari̇̀niai,"Agari̇̀nių, Agari̇̀niams, į Agariniùs, ties Agari̇̀niais, Agari̇̀niuose",kaimas,,2,"Lazdijų rajonas, Alytausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,a3e1e69f-57da-4c74-8703-1892ebd59767,2646d58e-a138-4d38-b4a1-073a48cc0188,,100340,Agarinio raistas,Agari̇̀nio rai̇̃stas,,pelkė,,,"Ignalinos rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,06ba6fae-8906-4d0f-a393-a89fb033eb4d,3acda5bc-064e-4288-9de0-333236c6017c,,100350,Agelaičiai,Ageláičiai,,kaimas,,1,"Raseinių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,d46c00f6-3030-4937-9109-c5855d86e390,04730b23-89bb-444b-a845-17f48663a168,,100360,Agelaičių miškas,Ageláičių mi̇́škas,,miškas,,,"Raseinių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,3d78a34d-2c0d-4678-9688-01ac52cd6e49,6d8c32bf-22a4-408c-b1a6-36f6762ec56f,,100370,Ageniškis,Agẽniškis,,kaimas,,1,"Biržų rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,71da7dab-c3c1-45ec-bf28-218c249afb22,059ffc37-f361-4d84-91b1-2e49b0e10092,,100390,Agila,Agilà,"Agi̇̀los, Agi̇̀lai, į Agi̇̀lą, ties Agilà, Agi̇̀loje",kaimas,,2,Lietuva,vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,283b4c3e-2588-4788-8954-d3d6ab9559d8,221cbb7b-1076-44f8-9b96-498a857988ad,,100400,Agilas,Agi̇̀las,"Agi̇̀lo, Agi̇̀lui, į Agi̇̀lą, ties Agilù, Agilè",kaimas,"vokiškai Agilla, dabar rusiškai Krasnoe",2,"Kaliningrado sritis, Polesko rajonas, Rusija",neoficialusis,oficialusis - Krãsnojė,,buvusi Labguvos apskritis,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,85d623a1-af48-438c-8214-29a76dfb8188,d4129cb4-d450-453d-9ec3-340b244861fc,,100410,Agilo įlanka,Agi̇̀lo į̇́lanka,,įlanka,,,Lietuva,vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,54a3395b-7dff-4b54-ba31-b7b8c9476c47,33ccbb2b-8060-4e2c-b40e-2bddeb4a1bd6,,100420,Agilo ragas,Agi̇̀lo rãgas,,kyšulys,,,Lietuva,vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,f2d02f84-40da-4987-aa85-c3e2f3191c7c,72033e97-be6f-4c22-bce9-f47cb734bb74,,100430,Agluona,Agluonà,"Agluonõs, Aglúonai, į Aglúoną, ties Aglúona, Agluonojè",kaimas,latviškai Aglona,3,"Preilių rajonas, Latvija",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,85ff7c32-fe2a-46c5-9264-d77078a5c1a4,a0f2f710-59fb-45fb-962c-7697563e585d,,100440,Agluona,Agluonà,"Agluonõs, Aglúonai, į Aglúoną, ties Aglúona, Agluonojè",upė,,3,"Akmenės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,381c8cde-5f57-4ea4-88d0-67dd3cae5bb4,9e6990cb-ef3c-4849-a86b-66802c6b0b28,,100450,Agluona,Agluonà,"Agluonõs, Aglúonai, į Aglúoną, ties Aglúona, Agluonojè",upė,,3,"Klaipėdos rajonas, Klaipėdosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,282e8bd3-795b-4a35-a2e9-f8d4233b0a93,922e5238-a87e-427d-812e-822bdfdd64c9,,100460,Agluonai,Agluonai̇̃,"Agluonų̃, Agluonáms, į Aglúonus, ties Agluonai̇̃s, Agluonuosè",kaimas,,3,"Akmenės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,f4a1ad1d-2d65-4a81-ad2d-db20cc2e6bc0,9c6416a9-b988-4770-8cc6-3dae49db660e,,100470,Agluonėnai,Agluonė́nai,,kaimas,,1,"Klaipėdos rajonas, Klaipėdosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,ad8af9bb-a0f0-4005-b9a0-791b9feac7eb,9b539dca-e145-4bf4-acf2-d8f157b6334f,,100480,Agnytė,Agnýtė,,upė,"vokiškai Agniet, Agnit, dabar rusiškai Šljuzovaja",1,"Kaliningrado sritis, Rusija",vienintelis,,,buvusi Ragainės apskritis,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,ccccccb5-f7ea-4a4a-a783-45540d3ac51a,1d211ccc-d9d9-4866-a53b-d035ea07552e,,100490,Aguonis,Aguõnis,"Aguõnio, Aguõniui, į Aguõnį, ties Aguoniù, Aguõnyje",kaimas,,2,"Kalvarijos savivaldybės teritorija, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,c6709b08-f2c1-4384-8352-0bce63ed903f,7b0ba642-2e77-47d1-a21d-e68697e9575f,,100500,Agurkiai,Agur̃kiai,"Agur̃kių, Agur̃kiams, į Agurkiùs, ties Agur̃kiais, Agur̃kiuose",kaimas,lenkiškai Ogórki,2,"Seinų apskritis, Lenkija",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,1d99d31b-e3b6-4dd6-98b1-b431296ce916,00724b25-5abb-429a-b2c7-6ec167b02b63,,100510,Agurkiškė,Agur̃kiškė,,kaimas,,1,"Kazlų Rūdos savivaldybės teritorija, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,b5339f8e-a52b-4285-813f-98498773b89b,a2f89845-ef17-4dcf-980e-205a6ebe2b8e,,100520,Agurkiškė,Agur̃kiškė,,kaimas,,1,"Šakių rajonas, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,0ec55829-7046-405b-948d-6c6c76c93fe1,be8bc412-0fff-4750-a72f-3b767a42d571,,100530,Agurkiškės miškas,Agur̃kiškės mi̇̀škas,,miškas,,,"Šakių rajonas, Marijampolėsapskritis, Lietuva; Kazlų Rūdos savivaldybės teritorija, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,23d3d909-7d34-4431-8c83-3817f3a96cf5,34745308-962c-4bcd-a5dd-379bb06aa136,,100540,Aidiečiai,Aidiẽčiai,"Aidiẽčių, Aidiẽčiams, į Aidiečiùs, ties Aidiẽčiais, Aidiẽčiuose",kaimas,,2,"Molėtų rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,ac235c6e-69a0-4220-90a4-992b860648d9,94903de1-f7b5-496b-b5e8-25527d1ac696,,100550,Airėnai,Airė́nai,,kaimas,,1,"Vilniaus rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,07a94860-fca1-45c1-aaa7-894537878a4a,7413408f-8edf-4059-86b6-d9d9b4f94bbf,,100560,Airupė,Airùpė,"Airùpės, Airùpei, į Airùpę, ties Airupè, Airùpėje",kaimas,,2,"Vilniaus rajonas, Vilniausapskritis, Lietuva",pagrindinis,,Európa - šalutinis,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,dea9d246-0e1f-43b9-9a1c-e469a70ddb76,c7804a27-266e-4975-89b1-01127015a5a0,,100580,Airupė,Airùpė,"Airùpės, Airùpei, į Airùpę, ties Airupè, Airùpėje",upė,,2,"Vilniaus rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,f6b8b69f-28c6-47ca-ad07-39598ee498b5,f1167ef1-e3c8-410a-a6ee-891d8d25aa1e,,100590,Aisė,Ai̇̃sė,"Ai̇̃sės, Ai̇̃sei, į Ai̇̃sę, ties Aisè, Ai̇̃sėje",upė,,2,"Šilutės rajonas, Klaipėdosapskritis, Lietuva; Klaipėdos rajonas, Klaipėdosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,f59cd5eb-ba96-4bef-94bc-0d285016f6d1,99eb5ec9-535a-40e4-a9df-7dea3634a649,,100600,Aisėnai,Aisė́nai,,kaimas,,1,"Klaipėdos rajonas, Klaipėdosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,57da591f-eca8-4cfe-94f1-773acd7532b3,359507f4-8c5c-4c25-aed3-3e0bef5f1bd2,,100610,Aisetas,Ai̇̃setas,"Ai̇̃seto, Ai̇̃setui, į Ai̇̃setą, ties Ai̇̃setu, Aisetè",ežeras,,(3b),"Molėtų rajonas, Utenosapskritis, Lietuva; Utenos rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,efa48158-0f3b-4257-bb91-7c1096fc8e72,fc3bd95a-81e0-4c90-a0da-a7cae01b0b17,,100620,Aisetos pelkė (durpynas),Aisetõs pélkė (durpýnas),,pelkė,,,"Utenos rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,77ae098d-cbac-423b-a366-b98bd9b49b2f,3c8837b5-60ab-4b24-b217-93a7285e8d7d,,100630,Aismarės,Áismarės,,įlanka,"vokiškai Frisches Haff, lenkiškai Zalew Wiślany, dabar rusiškai Kaliningradskij zaliv",1,"Kaliningrado sritis, Rusija; Lenkija",pagrindinis,,Áistmarės - šalutinis,buvusi Baltijos jūros įlanka,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,675d3c70-cc75-4f65-bd2a-4add81256aff,da0da3da-e3a8-481b-8c44-38e5956425de,,100650,Aista,Aistà,"Aistõs, Ai̇̃stai, į Ai̇̃stą, ties Aistà, Aistojè",upė,,4,"Kalvarijos savivaldybės teritorija, Marijampolėsapskritis, Lietuva; Vilkaviškio rajonas, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,3846bf08-22ac-44b6-a6f9-ceb2b6f7ef96,47dc73f9-d891-41a9-810e-ee88bb0d6012,,100660,Aistiškiai,Aisti̇̀škiai,"Aisti̇̀škių, Aisti̇̀škiams, į Aistiškiùs, ties Aisti̇̀škiais, Aisti̇̀škiuose",kaimas,,2,"Kalvarijos savivaldybės teritorija, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,dddb6675-da1d-42e8-9149-5f44774a7cbe,3d917500-b1f9-471d-9235-e37edd6df0f8,,100670,Aistiškių miškas,Aisti̇̀škių mi̇̀škas,,miškas,,,"Kalvarijos savivaldybės teritorija, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,73a1722a-069b-488b-902a-eedf3f16ccbd,b02cbcba-9cf7-4a3e-a3d5-f00727efa1da,,100680,Aistmarės,Áistmarės,,įlanka,,1,"Kaliningrado sritis, Rusija; Lenkija",šalutinis,,Áismarės - pagrindinis,buvusi Baltijos jūros įlanka,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,88d8d9ba-3cc1-4486-a85d-d91cb7761d46,211338c0-1d5e-4bed-809b-4d5671b0da6e,,100690,Aitra,Aitrà,"Ai̇̃tros, Ai̇̃trai, į Ai̇̃trą, ties Aitrà, Ai̇̃troje",upė,,2,"Plungės rajonas, Telšiųapskritis, Lietuva; Šilalės rajonas, Tauragėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,b8fea30c-f50d-4263-a366-26501e41c51a,d8ffe22d-fd0c-40b4-8bba-52d03aa159a3,,100700,Aizputė,Áizputė,,miestas,latviškai Aizpute,1,"Liepojos rajonas, Latvija",pagrindinis,,Óžputė - šalutinis,,
