_type,_id,_revision,_page.next,kodas,vietovardis_pilnas_nekirciuotas,vietovardis,linksniai,vietovardzio_rusis,vietovardis_vertimas,kirciuote,adm_teritorinis_priklausymas,statusas,kitas_statusas,kiti_variantai,papildoma_informacija,susije_vietovardziai
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,3e1c222f-8c91-4b28-bdae-3c4f6dd9b410,0b2a5a16-0882-4456-b027-7dc362fef0ef,,1602310,Juodasai kalnas,Juodasai̇̃ kálnas,Júodojo kálno,piliakalnis,,,"Zarasų rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,8e3edc06-5982-4017-a73b-b13a83d1880d,40480c5c-1202-4e15-bf83-a7507f39a108,,1602320,Juodasai kalnelis,Júodasai kalnẽlis,Júodojo kalnẽlio,piliakalnis,,,"Molėtų rajonas, Utenosapskritis, Lietuva",pagrindinis,,Sli̇̀žiškių pi̇̀liakalnis - šalutinis,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,090395d4-fc89-4ef9-8796-211827603156,5966c78b-d815-43fb-9515-7d9dee26a22f,,1602340,Juodasalė,Júodasalė,,pelkė,,1,"Zarasų rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,df2fa616-ffa2-452e-918f-c8863b513e92,6b18a924-2825-46eb-abc6-dab681312bf9,,1602350,Juodas Kauknoris,Júodas Kaũknoris,,ežeras,,1,"Lazdijų rajonas, Alytausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,c602277e-a7bb-487c-b691-404b28f9ee92,0a05465c-e8b2-4c42-a3f9-de1dd8a8cd42,,1602360,Juodausiai,Juodáusiai,,kaimas,,1,"Ukmergės rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,0372d8db-7b30-4328-b58a-ddd071d7230d,d2fbde2e-393d-4d32-ba74-a95744f77ee9,,1602370,Juodbūdis,Júodbūdis,,kaimas,,1,"Prienų rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,521ea917-31bc-4047-b706-259702ea1067,28d2a265-f867-4076-8a0b-35b8d1caa2ae,,1602380,Juodė,Júodė,,upė,,1,"Vilniaus rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,64f8e67e-4708-4734-821e-abc5c06d7ac4,2ad71c4b-2222-4a8b-89ac-329313955719,,1602390,Juodeglynai,Juodeglýnai,,kaimas,"vokiškai Jodeglienen, Iodeglienen",1,"Kaliningrado sritis, Krasnoznamensko rajonas, Rusija",vienintelis,,,buvusi Pilkalnio apskritis,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,73e932a7-d267-4899-852e-bc682092c155,b488bd77-dd30-48bf-92e4-47358a652512,,1602400,Juodeikėliai,Juodeikė̃liai,"Juodeikė̃lių, Juodeikė̃liams, į Juodeikėliùs, ties Juodeikė̃liais, Juodeikė̃liuose",kaimas,,2,"Mažeikių rajonas, Telšiųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,88f530f3-9c2d-49d7-90cf-3c1504b07426,6b266117-b07d-4ff1-a4cb-7cc8a43be521,,1602410,Juodeikiai,Juodei̇̃kiai,"Juodei̇̃kių, Juodei̇̃kiams, į Juodeikiùs, ties Juodei̇̃kiais, Juodei̇̃kiuose",kaimas,,2,"Joniškio rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
